driver,year
LEC,2019
GRO,2019
HUL,2019
STR,2020
AIT,2020
GAS,2021
PER,2021
RUS,2022
MSC,2022
NOR,2022
HAM,2023
ALB,2023
LAW,2023
COL,2026
VER,2026
SAI,2026
MAG,2019
PER,2019
GAS,2019
HAM,2020
ALB,2020
VET,2020
GIO,2020
LEC,2021
ALO,2021
LAT,2021
MAZ,2021
VER,2022
SAI,2022
ZHO,2022
TSU,2022
RIC,2022
STR,2023
SAR,2023
PIA,2023
RUS,2026
NOR,2026
HAM,2019
VET,2019
ALB,2019
GIO,2019
PER,2020
GAS,2020
MAG,2020
STR,2021
KUB,2021
BOT,2022
OCO,2022
LEC,2023
ALO,2023
HUL,2023
DEV,2023
BEA,2026
VER,2019
RIC,2019
SAI,2019
BOT,2020
KVY,2020
OCO,2020
NOR,2021
RAI,2021
RUS,2021
MSC,2021
PER,2022
MAG,2022
GAS,2022
ANT,2026
LEC,2026
HUL,2026
ALO,2026
BOT,2019
KVY,2019
VER,2020
SAI,2020
RIC,2020
HAM,2022
ALB,2022
VET,2022
RUS,2023
NOR,2023
PIA,2026
LIN,2026
STR,2026
STR,2019
KUB,2019
LEC,2020
GRO,2020
LAT,2020
HUL,2020
HAM,2021
GIO,2021
VET,2021
PER,2023
MAG,2023
GAS,2023
OCO,2026
BOT,2026
NOR,2020
RUS,2020
RAI,2020
FIT,2020
BOT,2021
OCO,2021
STR,2022
VER,2023
SAI,2023
ZHO,2023
TSU,2023
RIC,2023
HAD,2026
HAM,2026
LAW,2026
BOR,2026
ALB,2026
NOR,2019
RAI,2019
RUS,2019
VER,2021
RIC,2021
SAI,2021
TSU,2021
LEC,2022
ALO,2022
HUL,2022
LAT,2022
DEV,2022
OCO,2023
BOT,2023
GAS,2026
PER,2026
